"participants","sic_primary","date_announced","date_terminated","business_description","participant_nation","alliance_deal_name","alliance_sic_code","alliance_nation","status","type","ownership_structure","deal_number","participant_country","continent"
"Lenovo Group Ltd","3571","2016-08-19","","Mnfr,wholesale computer prod","Hong Kong","BEYOND MEDIA GROUP LTD/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3073520045,"Hong Kong","Asia"
"Lenovo Group Ltd","3571","2016-10-17","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/NIMBLE STORAGE INC-STRATEGIC ALLIANCE","7538","","Completed/Signed","Strategic Alliance",NA,3034322045,"Hong Kong","Asia"
"Nimble Storage Inc","3572","2016-10-17","","Mnfr primary storage & reduplication architectures","United States","LENOVO GROUP LTD/NIMBLE STORAGE INC-STRATEGIC ALLIANCE","7538","","Completed/Signed","Strategic Alliance",NA,3034322045,"United States","Americas"
"InterContinental Hotels Group","7011","2016-10-28","","Owns and operates hotels and resorts","United Kingdom","INTERCONTINENTAL HOTELS GROUP PLC/HTC CORP-STRATEGIC ALLIANCE","7389","China","Completed/Signed","Strategic Alliance",NA,3029708045,"United Kingdom","Europe"
"HTC Corp","3571","2016-10-28","","Manufacture computers,mobile telephones","Taiwan","INTERCONTINENTAL HOTELS GROUP PLC/HTC CORP-STRATEGIC ALLIANCE","7389","China","Completed/Signed","Strategic Alliance",NA,3029708045,"Taiwan","Asia"
"Lenovo Group Ltd","3571","2016-12-13","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/VIA LICENSING CORP-STRATEGIC ALLIANCE","6794","United States","Completed/Signed","Strategic Alliance",NA,3049544045,"Hong Kong","Asia"
"Via Licensing Corp","6794","2016-12-13","","Lessors Of Nonfinancial Intangible Assets (Except Copyrighted Works)","United States","LENOVO GROUP LTD/VIA LICENSING CORP-STRATEGIC ALLIANCE","6794","United States","Completed/Signed","Strategic Alliance",NA,3049544045,"United States","Americas"
"Aaeon Technology Inc","3571","2017-01-31","","Electronic Computer Manufacturing","Taiwan","AAEON TECHNOLOGY INC/SOLID STATE PLC-STRATEGIC ALLIANCE","5099","United Kingdom~Ireland-Rep","Completed/Signed","Strategic Alliance",NA,3066191045,"Taiwan","Asia"
"Solid State PLC","3679","2017-01-31","","Printed Circuit Assembly (Electronic Assembly) Manufacturing","United Kingdom","AAEON TECHNOLOGY INC/SOLID STATE PLC-STRATEGIC ALLIANCE","5099","United Kingdom~Ireland-Rep","Completed/Signed","Strategic Alliance",NA,3066191045,"United Kingdom","Europe"
"Promark Technology Inc","7376","2017-03-09","","Provide data storage distribution services","United States","PROMARK TECHNOLOGY INC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","5099","Supranational","Completed/Signed","Strategic Alliance",NA,3084472045,"United States","Americas"
"Lenovo Group Ltd","3571","2017-03-09","","Mnfr,wholesale computer prod","Hong Kong","PROMARK TECHNOLOGY INC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","5099","Supranational","Completed/Signed","Strategic Alliance",NA,3084472045,"Hong Kong","Asia"
"Warner Bros Inc","7812","2017-03-27","","Provide motion picture production services","United States","WARNER BROS INC/HTC CORP-STRATEGIC ALLIANCE","7812","Supranational","Completed/Signed","Strategic Alliance",NA,3085894045,"United States","Americas"
"HTC Corp","3571","2017-03-27","","Manufacture computers,mobile telephones","Taiwan","WARNER BROS INC/HTC CORP-STRATEGIC ALLIANCE","7812","Supranational","Completed/Signed","Strategic Alliance",NA,3085894045,"Taiwan","Asia"
"Google Inc","7375","2017-05-17","","Internet Publishing and Broadcasting and Web Search Portals","United States","GOOGLE INC/HTC VIVE/LENOVO GROUP LTD-STRATEGIC ALLIANCE","1731","Supranational","Completed/Signed","Strategic Alliance",NA,3370965045,"United States","Americas"
"Htc Vive","7622","2017-05-17","","Consumer Electronics Repair and Maintenance","Taiwan","GOOGLE INC/HTC VIVE/LENOVO GROUP LTD-STRATEGIC ALLIANCE","1731","Supranational","Completed/Signed","Strategic Alliance",NA,3370965045,"Taiwan","Asia"
"Lenovo Group Ltd","3571","2017-05-17","","Mnfr,wholesale computer prod","Hong Kong","GOOGLE INC/HTC VIVE/LENOVO GROUP LTD-STRATEGIC ALLIANCE","1731","Supranational","Completed/Signed","Strategic Alliance",NA,3370965045,"Hong Kong","Asia"
"Veeam Software AG (Now 9J7839)","7372","2017-05-17","","Dvlp server mgmt software","Switzerland","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE","7371","Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"Switzerland","Europe"
"Lenovo Group Ltd","3571","2017-05-17","","Mnfr,wholesale computer prod","Hong Kong","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE","7371","Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"Hong Kong","Asia"
"IBM Corp","3571","2017-05-17","","Manufacture computer products","United States","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE","7371","Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"United States","Americas"
"Infinidat Inc","3572","2017-05-17","","Computer Storage Device Manufacturing","United States","VEEAM SOFTWARE AG/LENOVO GROUP LTD/INTERNATIONAL BUSINESS/INFINIDAT~INC-STRATEGIC ALLIANCE","7371","Switzerland","Completed/Signed","Strategic Alliance",NA,3109471045,"United States","Americas"
"Stellar Information Systems","7374","2017-05-17","","Pvd data recovery svcs","India","STELLAR INFORMATION SYSTEMS/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7374","India","Completed/Signed","Strategic Alliance",NA,3105509045,"India","Asia"
"Lenovo Group Ltd","3571","2017-05-17","","Mnfr,wholesale computer prod","Hong Kong","STELLAR INFORMATION SYSTEMS/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7374","India","Completed/Signed","Strategic Alliance",NA,3105509045,"Hong Kong","Asia"
"Huawei Technologies Co Ltd","7376","2017-07-19","","Provide information tech svcs","China","HUAWEI TECHNOLOGIES CO LTD/INFOCOMMUN MEDIA DVLP/KEPPEL DATA CTRS HLDG PTE~LTD/ASCENT SOLUTIONS PTE LTD-STRATEGIC ALLIANCE","7389","Singapore","Completed/Signed","Strategic Alliance",NA,3129731045,"China","Asia"
"InfoCommun Media Dvlp","3571","2017-07-19","","Multi-media company","Singapore","HUAWEI TECHNOLOGIES CO LTD/INFOCOMMUN MEDIA DVLP/KEPPEL DATA CTRS HLDG PTE~LTD/ASCENT SOLUTIONS PTE LTD-STRATEGIC ALLIANCE","7389","Singapore","Completed/Signed","Strategic Alliance",NA,3129731045,"Singapore","Asia"
"Keppel Data Cntrs Hldg Pte Ltd","7375","2017-07-19","","Own,operates internet data center","Singapore","HUAWEI TECHNOLOGIES CO LTD/INFOCOMMUN MEDIA DVLP/KEPPEL DATA CTRS HLDG PTE~LTD/ASCENT SOLUTIONS PTE LTD-STRATEGIC ALLIANCE","7389","Singapore","Completed/Signed","Strategic Alliance",NA,3129731045,"Singapore","Asia"
"Ascent Solutions Pte Ltd","4212","2017-07-19","","Trucking company","Singapore","HUAWEI TECHNOLOGIES CO LTD/INFOCOMMUN MEDIA DVLP/KEPPEL DATA CTRS HLDG PTE~LTD/ASCENT SOLUTIONS PTE LTD-STRATEGIC ALLIANCE","7389","Singapore","Completed/Signed","Strategic Alliance",NA,3129731045,"Singapore","Asia"
"Immotion Group PLC","7376","2017-08-01","","Software Publishers","United Kingdom","IMMOTION GROUP PLC/BEIJING LEKE VR TECHNOLOGY CO LTD-STRATEGIC ALLIANCE","3571","United States~United Kingdom","Completed/Signed","Strategic Alliance",NA,3343009045,"United Kingdom","Europe"
"Beijing Leke Vr Tech Co Ltd","3571","2017-08-01","","Electronic Computer Manufacturing","China","IMMOTION GROUP PLC/BEIJING LEKE VR TECHNOLOGY CO LTD-STRATEGIC ALLIANCE","3571","United States~United Kingdom","Completed/Signed","Strategic Alliance",NA,3343009045,"China","Asia"
"Socionext Inc","7371","2017-08-31","","Custom Computer Programming Services","Japan","SOCIONEXT INC/ADVANTECH CO LTD-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,3146976045,"Japan","Asia"
"Advantech Co Ltd","3571","2017-08-31","","Manufacture,wholesale industrial computers","Taiwan","SOCIONEXT INC/ADVANTECH CO LTD-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,3146976045,"Taiwan","Asia"
"Lenovo Group Ltd","3571","2017-09-07","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/VIA LICENSING CORP-STRATEGIC ALLIANCE","6794","United States","Completed/Signed","Strategic Alliance",NA,3147392045,"Hong Kong","Asia"
"Via Licensing Corp","6794","2017-09-07","","Lessors Of Nonfinancial Intangible Assets (Except Copyrighted Works)","United States","LENOVO GROUP LTD/VIA LICENSING CORP-STRATEGIC ALLIANCE","6794","United States","Completed/Signed","Strategic Alliance",NA,3147392045,"United States","Americas"
"Fun Union Ltd","3571","2017-10-13","","Electronic Computer Manufacturing","Hong Kong","FUN UNION LTD/IMIRA ENTERTAINMENT SL-STRATEGIC ALLIANCE","3571","Spain","Completed/Signed","Strategic Alliance",NA,3375373045,"Hong Kong","Asia"
"Imira Entertainment SL","7819","2017-10-13","","Movie, TV Production & Distribution","Spain","FUN UNION LTD/IMIRA ENTERTAINMENT SL-STRATEGIC ALLIANCE","3571","Spain","Completed/Signed","Strategic Alliance",NA,3375373045,"Spain","Europe"
"Lenovo Group Ltd","3571","2017-10-24","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/INTEL CORP-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3218087045,"Hong Kong","Asia"
"Intel Corp","3674","2017-10-24","","Manufacture,wholesale semiconductors","United States","LENOVO GROUP LTD/INTEL CORP-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3218087045,"United States","Americas"
"Igel Technology GmbH","3571","2017-10-26","","Mnfg,whol computers","Germany","IGEL TECHNOLOGY GMBH/ADVANTECH CO LTD-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,3215003045,"Germany","Europe"
"Advantech Co Ltd","3571","2017-10-26","","Manufacture,wholesale industrial computers","Taiwan","IGEL TECHNOLOGY GMBH/ADVANTECH CO LTD-STRATEGIC ALLIANCE","7373","Supranational","Completed/Signed","Strategic Alliance",NA,3215003045,"Taiwan","Asia"
"Trade Network International","7373","2017-11-06","","Network integrated sys svcs","United Kingdom","TRADE NETWORK INTERNATIONAL/DE AND E-STRATEGIC ALLIANCE","5099","Supranational","Completed/Signed","Strategic Alliance",NA,3371557045,"United Kingdom","Europe"
"De And E","3571","2017-11-06","","Electronic Computer Manufacturing","China","TRADE NETWORK INTERNATIONAL/DE AND E-STRATEGIC ALLIANCE","5099","Supranational","Completed/Signed","Strategic Alliance",NA,3371557045,"China","Asia"
"Quanta Computer Inc","3571","2017-12-12","","Mnfr electn computers","Taiwan","QUANTA COMPUTER INC/LUMUS LTD-STRATEGIC ALLIANCE","3679","Taiwan","Completed/Signed","Strategic Alliance",NA,3200844045,"Taiwan","Asia"
"Lumus Ltd","3679","2017-12-12","","Other Electronic Component Manufacturing","Israel","QUANTA COMPUTER INC/LUMUS LTD-STRATEGIC ALLIANCE","3679","Taiwan","Completed/Signed","Strategic Alliance",NA,3200844045,"Israel","Asia"
"HTC Corp","3571","2018-06-28","","Manufacture computers,mobile telephones","Taiwan","HTC CORP/CHINA MOBILE LTD-STRATEGIC ALLIANCE","7372","","Completed/Signed","Strategic Alliance",NA,3358373045,"Taiwan","Asia"
"China Mobile Ltd","4813","2018-06-28","","Pvd telecommunications svcs","Hong Kong","HTC CORP/CHINA MOBILE LTD-STRATEGIC ALLIANCE","7372","","Completed/Signed","Strategic Alliance",NA,3358373045,"Hong Kong","Asia"
"Tech Data Corp","5045","2018-07-18","","Wholesales technology products","United States","TECH DATA CORP/ADVANTECH CO LTD-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3351456045,"United States","Americas"
"Advantech Co Ltd","3571","2018-07-18","","Manufacture,wholesale industrial computers","Taiwan","TECH DATA CORP/ADVANTECH CO LTD-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3351456045,"Taiwan","Asia"
"Pivot3 Inc","7372","2018-08-29","","Dvlp defined storage solutions software","United States","PIVOT3 INC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7373","Hong Kong","Completed/Signed","Strategic Alliance",NA,3335921045,"United States","Americas"
"Lenovo Group Ltd","3571","2018-08-29","","Mnfr,wholesale computer prod","Hong Kong","PIVOT3 INC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7373","Hong Kong","Completed/Signed","Strategic Alliance",NA,3335921045,"Hong Kong","Asia"
"Enea AB","7376","2018-09-04","","Software Publishers","Sweden","ENEA AB/ADVANTECH CO LTD-STRATEGIC ALLIANCE","7372","Taiwan~Sweden","Completed/Signed","Strategic Alliance",NA,3345574045,"Sweden","Europe"
"Advantech Co Ltd","3571","2018-09-04","","Manufacture,wholesale industrial computers","Taiwan","ENEA AB/ADVANTECH CO LTD-STRATEGIC ALLIANCE","7372","Taiwan~Sweden","Completed/Signed","Strategic Alliance",NA,3345574045,"Taiwan","Asia"
"Lenovo Group Ltd","3571","2018-09-13","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/NETAPP INC-STRATEGIC ALLIANCE","7372","China","Completed/Signed","Strategic Alliance",NA,3344360045,"Hong Kong","Asia"
"NetApp Inc","3572","2018-09-13","","Mnfr,dvlp network storage","United States","LENOVO GROUP LTD/NETAPP INC-STRATEGIC ALLIANCE","7372","China","Completed/Signed","Strategic Alliance",NA,3344360045,"United States","Americas"
"CMC Corp","3571","2018-10-20","","Pvd IT related services","Vietnam","CMC CORP/APPROXIMA-STRATEGIC ALLIANCE","8741","Denmark~Vietnam","Completed/Signed","Strategic Alliance",NA,3333625045,"Vietnam","Asia"
"Approxima","8748","2018-10-20","","Other Management Consulting Services","Denmark","CMC CORP/APPROXIMA-STRATEGIC ALLIANCE","8741","Denmark~Vietnam","Completed/Signed","Strategic Alliance",NA,3333625045,"Denmark","Europe"
"Lenovo Group Ltd","3571","2018-10-22","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/EMITAC ENTERPRISE SOLUTIONS L.L.C-STRATEGIC ALLIANCE","7372","Utd Arab Em","Completed/Signed","Strategic Alliance",NA,3338565045,"Hong Kong","Asia"
"Sony Interactive Ent Inc","3651","2018-10-30","","Audio and Video Equipment Manufacturing","United States","SONY INTERACTIVE ENTERTAINMENT LLC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","6794","United States","Completed/Signed","Strategic Alliance",NA,3345051045,"United States","Americas"
"Lenovo Group Ltd","3571","2018-10-30","","Mnfr,wholesale computer prod","Hong Kong","SONY INTERACTIVE ENTERTAINMENT LLC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","6794","United States","Completed/Signed","Strategic Alliance",NA,3345051045,"Hong Kong","Asia"
"Absolute Software Corp","7372","2018-11-14","","Dvlp computer sec software","Canada","ABSOLUTE SOFTWARE CORP/VAIO CORP-STRATEGIC ALLIANCE","7382","Japan","Completed/Signed","Strategic Alliance",NA,3314475045,"Canada","Americas"
"VAIO Corp","3571","2018-11-14","","Electronic Computer Manufacturing","Japan","ABSOLUTE SOFTWARE CORP/VAIO CORP-STRATEGIC ALLIANCE","7382","Japan","Completed/Signed","Strategic Alliance",NA,3314475045,"Japan","Asia"
"Cumulus Networks Inc","7372","2018-12-10","","Software Publishers","United States","CUMULUS NETWORKS INC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7375","Supranational","Completed/Signed","Strategic Alliance",NA,3336749045,"United States","Americas"
"Lenovo Group Ltd","3571","2018-12-10","","Mnfr,wholesale computer prod","Hong Kong","CUMULUS NETWORKS INC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7375","Supranational","Completed/Signed","Strategic Alliance",NA,3336749045,"Hong Kong","Asia"
"Ekinops SA","3661","2019-01-29","","Mnfr optical transport equip","France","EKINOPS SA/LANNER ELECTRONICS INC-STRATEGIC ALLIANCE","8731","Supranational","Completed/Signed","Strategic Alliance",NA,3344223045,"France","Europe"
"Lanner Electronics Inc","3571","2019-01-29","","Mnfr,whl computers,peripherals","Taiwan","EKINOPS SA/LANNER ELECTRONICS INC-STRATEGIC ALLIANCE","8731","Supranational","Completed/Signed","Strategic Alliance",NA,3344223045,"Taiwan","Asia"
"Lanner Electronics Inc","3571","2019-02-20","","Mnfr,whl computers,peripherals","Taiwan","LANNER ELECTRONICS INC/NETELASTIC SYSTEMS INC-STRATEGIC ALLIANCE","1731","Supranational","Completed/Signed","Strategic Alliance",NA,3351632045,"Taiwan","Asia"
"NetElastic Systems Inc","7372","2019-02-20","","Software Publishers","United States","LANNER ELECTRONICS INC/NETELASTIC SYSTEMS INC-STRATEGIC ALLIANCE","1731","Supranational","Completed/Signed","Strategic Alliance",NA,3351632045,"United States","Americas"
"Aricent Inc","7372","2019-02-26","","Dvlp commun software","United States","ARICENT INC/LANNER ELECTRONICS INC-STRATEGIC ALLIANCE","1731","Supranational","Completed/Signed","Strategic Alliance",NA,3359369045,"United States","Americas"
"Lanner Electronics Inc","3571","2019-02-26","","Mnfr,whl computers,peripherals","Taiwan","ARICENT INC/LANNER ELECTRONICS INC-STRATEGIC ALLIANCE","1731","Supranational","Completed/Signed","Strategic Alliance",NA,3359369045,"Taiwan","Asia"
"Tech Data Corp","5045","2019-04-11","","Wholesales technology products","United States","TECH DATA CORP/LENOVO GROUP LTD-STRATEGIC ALLIANCE","5099","Ireland-Rep","Completed/Signed","Strategic Alliance",NA,3381986045,"United States","Americas"
"Lenovo Group Ltd","3571","2019-04-11","","Mnfr,wholesale computer prod","Hong Kong","TECH DATA CORP/LENOVO GROUP LTD-STRATEGIC ALLIANCE","5099","Ireland-Rep","Completed/Signed","Strategic Alliance",NA,3381986045,"Hong Kong","Asia"
"Saint Bitts LLC","6099","2019-09-16","","Commodity Contracts Dealing","United States","SAINT BITTS LLC/HTC CORP-STRATEGIC ALLIANCE","7373","Taiwan","Completed/Signed","Strategic Alliance",NA,3453777045,"United States","Americas"
"HTC Corp","3571","2019-09-16","","Manufacture computers,mobile telephones","Taiwan","SAINT BITTS LLC/HTC CORP-STRATEGIC ALLIANCE","7373","Taiwan","Completed/Signed","Strategic Alliance",NA,3453777045,"Taiwan","Asia"
"Motherboard Express Co","3429","2019-09-24","","Hardware Manufacturing","United States","MOTHERBOARD EXPRESS CO/LANNER ELECTRONICS INC-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3459493045,"United States","Americas"
"Lanner Electronics Inc","3571","2019-09-24","","Mnfr,whl computers,peripherals","Taiwan","MOTHERBOARD EXPRESS CO/LANNER ELECTRONICS INC-STRATEGIC ALLIANCE","7373","United States","Completed/Signed","Strategic Alliance",NA,3459493045,"Taiwan","Asia"
"Data Dynamics Inc","7379","2019-09-24","","Other Computer Related Services","United States","DATA DYNAMICS INC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3458764045,"United States","Americas"
"Lenovo Group Ltd","3571","2019-09-24","","Mnfr,wholesale computer prod","Hong Kong","DATA DYNAMICS INC/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3458764045,"Hong Kong","Asia"
"Green Gold Animation Pvt Ltd","7929","2019-10-18","","Musical Groups and Artists","India","GREEN GOLD ANIMATION PVT LTD/ADK EMOTIONS INC-STRATEGIC ALLIANCE","7372","","Completed/Signed","Strategic Alliance",NA,3468414045,"India","Asia"
"Adk Emotions Inc","3571","2019-10-18","","Electronic Computer Manufacturing","Japan","GREEN GOLD ANIMATION PVT LTD/ADK EMOTIONS INC-STRATEGIC ALLIANCE","7372","","Completed/Signed","Strategic Alliance",NA,3468414045,"Japan","Asia"
"Kantar Group Ltd","8742","2019-11-18","","Marketing Consulting Services","United Kingdom","KANTAR GROUP LTD/VTION-STRATEGIC ALLIANCE","7373","India","Completed/Signed","Strategic Alliance",NA,3479966045,"United Kingdom","Europe"
"Vtion","3571","2019-11-18","","Data Processing, Hosting, and Related Services","India","KANTAR GROUP LTD/VTION-STRATEGIC ALLIANCE","7373","India","Completed/Signed","Strategic Alliance",NA,3479966045,"India","Asia"
"Elitegroup Computer Systems","3571","2020-01-07","","Mnfr computer mainboards","Taiwan","ELITEGROUP COMPUTER SYSTEMS CO LTD/IOTECHA CORP-STRATEGIC ALLIANCE","1731","","Completed/Signed","Strategic Alliance",NA,3502201045,"Taiwan","Asia"
"Iotecha Corp","1623","2020-01-07","","Power and Communication Line and Related Structures Construction","United States","ELITEGROUP COMPUTER SYSTEMS CO LTD/IOTECHA CORP-STRATEGIC ALLIANCE","1731","","Completed/Signed","Strategic Alliance",NA,3502201045,"United States","Americas"
"Gigabyte Technology Co Ltd","3571","2020-02-27","","Mnfr computer chip motherboard","Taiwan","GIGABYTE TECHNOLOGY CO LTD/ZUTACORE LTD-STRATEGIC ALLIANCE","7371","","Completed/Signed","Strategic Alliance",NA,3519790045,"Taiwan","Asia"
"Zutacore Ltd","1796","2020-02-27","","Plumbing, Heating, and Air-Conditioning Contractors","United States","GIGABYTE TECHNOLOGY CO LTD/ZUTACORE LTD-STRATEGIC ALLIANCE","7371","","Completed/Signed","Strategic Alliance",NA,3519790045,"United States","Americas"
"Lenovo Group Ltd","3571","2020-03-10","","Mnfr,wholesale computer prod","Hong Kong","LENOVO GROUP LTD/SENTINEL LABS INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3540656045,"Hong Kong","Asia"
"SentinelOne Inc","7372","2020-03-10","","Software Publishers","United States","LENOVO GROUP LTD/SENTINEL LABS INC-STRATEGIC ALLIANCE","7372","United States","Completed/Signed","Strategic Alliance",NA,3540656045,"United States","Americas"
"Lemma Tech Ltd","3571","2020-04-21","","Electronic Computer Manufacturing","India","LEMMA TECHNOLOGIES LTD/LIFESIGHT PTE. LTD-STRATEGIC ALLIANCE","3571","India","Completed/Signed","Strategic Alliance",NA,3564283045,"India","Asia"
"Lifesight Pte. Ltd.","7371","2020-04-21","","Custom Computer Programming Services","India","LEMMA TECHNOLOGIES LTD/LIFESIGHT PTE. LTD-STRATEGIC ALLIANCE","3571","India","Completed/Signed","Strategic Alliance",NA,3564283045,"India","Asia"
"Lanner Electronics Inc","3571","2020-05-19","","Mnfr,whl computers,peripherals","Taiwan","LANNER ELECTRONICS INC/FLEXIWAN LTD-STRATEGIC ALLIANCE","7371","Taiwan","Completed/Signed","Strategic Alliance",NA,3578394045,"Taiwan","Asia"
"Flexiwan Ltd","7372","2020-05-19","","Software Publishers","Israel","LANNER ELECTRONICS INC/FLEXIWAN LTD-STRATEGIC ALLIANCE","7371","Taiwan","Completed/Signed","Strategic Alliance",NA,3578394045,"Israel","Asia"
"Cyberlink Corp","7372","2020-05-20","","Software Publishers","Taiwan","CYBERLINK CORP/ADVANTECH CO LTD-STRATEGIC ALLIANCE","7373","Taiwan","Completed/Signed","Strategic Alliance",NA,3577730045,"Taiwan","Asia"
"Advantech Co Ltd","3571","2020-05-20","","Manufacture,wholesale industrial computers","Taiwan","CYBERLINK CORP/ADVANTECH CO LTD-STRATEGIC ALLIANCE","7373","Taiwan","Completed/Signed","Strategic Alliance",NA,3577730045,"Taiwan","Asia"
"Advantech Co Ltd","3571","2020-06-23","","Manufacture,wholesale industrial computers","Taiwan","ADVANTECH CO LTD/QSC AG-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,3594920045,"Taiwan","Asia"
"QSC AG","7375","2020-06-23","","Internet Service Provider{ISP}","Germany","ADVANTECH CO LTD/QSC AG-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,3594920045,"Germany","Europe"
"Northern Data AG","7374","2020-07-21","","Provides data infrastructure solution","Germany","NORTHERN DATA AG/GIGABYTE TECHNOLOGY CO LTD-STRATEGIC ALLIANCE","7372","Germany","Completed/Signed","Strategic Alliance",NA,3613842045,"Germany","Europe"
"Gigabyte Technology Co Ltd","3571","2020-07-21","","Mnfr computer chip motherboard","Taiwan","NORTHERN DATA AG/GIGABYTE TECHNOLOGY CO LTD-STRATEGIC ALLIANCE","7372","Germany","Completed/Signed","Strategic Alliance",NA,3613842045,"Taiwan","Asia"
"Data Dynamics Ltd","7372","2020-08-04","","Dvlp software","United States","DATA DYNAMICS LTD/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,3617695045,"United States","Americas"
"Lenovo Group Ltd","3571","2020-08-04","","Mnfr,wholesale computer prod","Hong Kong","DATA DYNAMICS LTD/LENOVO GROUP LTD-STRATEGIC ALLIANCE","7372","Supranational","Completed/Signed","Strategic Alliance",NA,3617695045,"Hong Kong","Asia"
"Ekinops SA","3661","2020-09-02","","Mnfr optical transport equip","France","EKINOPS SA/LANNER ELECTRONICS INC-STRATEGIC ALLIANCE","8742","United States","Completed/Signed","Strategic Alliance",NA,3629915045,"France","Europe"
"Lanner Electronics Inc","3571","2020-09-02","","Mnfr,whl computers,peripherals","Taiwan","EKINOPS SA/LANNER ELECTRONICS INC-STRATEGIC ALLIANCE","8742","United States","Completed/Signed","Strategic Alliance",NA,3629915045,"Taiwan","Asia"
"Acer Inc","3577","2020-09-16","","Mnfr,whl computer,mobile phone","Taiwan","ACER INC/MINDWARE HOLDINGS INC-STRATEGIC ALLIANCE","8742","Supranational","Completed/Signed","Strategic Alliance",NA,3637096045,"Taiwan","Asia"
"Mindware Hldg Inc","3944","2020-09-16","","Manufacture and wholesale toys","United States","ACER INC/MINDWARE HOLDINGS INC-STRATEGIC ALLIANCE","8742","Supranational","Completed/Signed","Strategic Alliance",NA,3637096045,"United States","Americas"
"Bango PLC","7375","2020-09-22","","Pvd mobile Internet svcs","United Kingdom","BANGO PLC/IN10 MEDIA PVT LTD-EPIC ON-STRATEGIC ALLIANCE","3571","Supranational","Completed/Signed","Strategic Alliance",NA,3638746045,"United Kingdom","Europe"
"In10 Media Pvt Ltd-Epic On","3571","2020-09-22","","Electronic Computer Manufacturing","India","BANGO PLC/IN10 MEDIA PVT LTD-EPIC ON-STRATEGIC ALLIANCE","3571","Supranational","Completed/Signed","Strategic Alliance",NA,3638746045,"India","Asia"
"Automation Engineering Inc","3541","2020-09-28","","Mnfr machine tools,sys","United States","AUTOMATION ENGINEERING INC/WINCOMM-STRATEGIC ALLIANCE","5099","China","Completed/Signed","Strategic Alliance",NA,3642517045,"United States","Americas"
"Wincomm","3571","2020-09-28","","Electronic Computer Manufacturing","China","AUTOMATION ENGINEERING INC/WINCOMM-STRATEGIC ALLIANCE","5099","China","Completed/Signed","Strategic Alliance",NA,3642517045,"China","Asia"
"Lemma Tech Ltd","3571","2020-10-13","","Electronic Computer Manufacturing","India","LEMMA TECHNOLOGIES LTD/VIOOH LTD-STRATEGIC ALLIANCE","8742","United Kingdom","Completed/Signed","Strategic Alliance",NA,3648486045,"India","Asia"
"Viooh Ltd","7311","2020-10-13","","Advertising Agencies","United Kingdom","LEMMA TECHNOLOGIES LTD/VIOOH LTD-STRATEGIC ALLIANCE","8742","United Kingdom","Completed/Signed","Strategic Alliance",NA,3648486045,"United Kingdom","Europe"
